name,selling_price,km_driven,fuel,seller_type,transmission,owner,company,year_old_2023
EON Magna,240000,73300,Petrol,Dealer,Manual,Second Owner,Hyundai,9
Etios GD,525000,92000,Diesel,Dealer,Manual,First Owner,Toyota,9
Alto LXi,151000,66764,Petrol,Dealer,Manual,Second Owner,Maruti,14
Alto LXi,140000,100000,Petrol,Individual,Manual,First Owner,Maruti,14
Tavera Neo,280000,350000,Diesel,Individual,Manual,Second Owner,Chevrolet,13
Corolla Altis,350000,230000,Diesel,Individual,Manual,First Owner,Toyota,12
Scorpio 1.99,570000,60000,Diesel,Individual,Manual,First Owner,Mahindra,6
EON Magna,300000,31000,Petrol,Individual,Manual,First Owner,Hyundai,5
Indigo Classic,100000,39000,Diesel,Individual,Manual,First Owner,Tata,16
Innova 2.5,500000,120000,Diesel,Individual,Manual,Third Owner,Toyota,14
Indica Vista,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,Tata,9
Swift 1.3,130000,110000,Petrol,Individual,Manual,Third Owner,Maruti,17
EcoSport 1.5,925000,35000,Diesel,Individual,Manual,First Owner,Ford,6
Ciaz 1.3,750000,60000,Diesel,Individual,Manual,First Owner,Maruti,5
Civic 1.8,200000,54000,Petrol,Individual,Automatic,Second Owner,Honda,16
i10 Sportz,248000,63000,Petrol,Individual,Manual,Second Owner,Hyundai,13
Rapid 1.5,450000,120000,Diesel,Individual,Manual,Second Owner,Skoda,9
Getz GLS,80000,120000,Petrol,Individual,Manual,Third Owner,Hyundai,18
Terrano XL,650000,76000,Petrol,Individual,Manual,Second Owner,Nissan,9
Grand i10,450000,80000,Diesel,Individual,Manual,First Owner,Hyundai,8
Elite i20,650000,25000,Diesel,Individual,Manual,First Owner,Hyundai,4
Amaze S,495000,11958,Petrol,Dealer,Manual,First Owner,Honda,7
Brio S,371000,20000,Petrol,Dealer,Manual,First Owner,Honda,8
Creta 1.6,1025000,9000,Petrol,Dealer,Manual,First Owner,Hyundai,6
XUV500 W8,750000,70000,Diesel,Individual,Manual,First Owner,Mahindra,8
Duster 85PS,600000,120000,Diesel,Individual,Manual,First Owner,Renault,10
Santro Xing,80000,58000,Petrol,Dealer,Manual,Second Owner,Hyundai,16
Bolero 2011-2019,325000,62200,Diesel,Dealer,Manual,First Owner,Mahindra,10
A6 2.0,1470000,34000,Diesel,Dealer,Automatic,Second Owner,Audi,9
Avventura MULTIJET,350000,53000,Diesel,Individual,Manual,Second Owner,Fiat,8
A8 4.2,2800000,49000,Diesel,Dealer,Automatic,First Owner,Audi,10
RediGO 1.0,210000,15000,Petrol,Dealer,Manual,Second Owner,Datsun,6
Jetta 1.4,450000,50000,Petrol,Individual,Manual,First Owner,Volkswagen,10
A4 2.0,1150000,53000,Diesel,Dealer,Automatic,First Owner,Audi,10
Civic 1.8,210000,63500,Petrol,Dealer,Automatic,First Owner,Honda,14
E-Class Exclusive,4500000,9800,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,5
X1 sDrive,2750000,13000,Diesel,Individual,Automatic,First Owner,BMW,6
V40 D3,1975000,21000,Diesel,Dealer,Automatic,First Owner,Volvo,5
SX4 Zxi,175000,29173,Petrol,Dealer,Manual,First Owner,Maruti,15
7 Series,2500000,48000,Diesel,Dealer,Automatic,First Owner,BMW,11
Bolero Power,628000,120000,Diesel,Individual,Manual,First Owner,Mahindra,6
Sonata CRDi,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,13
Micra Active,399000,30000,Petrol,Individual,Manual,First Owner,Nissan,6
Xylo D4,750000,87000,Diesel,Individual,Manual,First Owner,Mahindra,5
Elite i20,750000,15000,Petrol,Individual,Manual,First Owner,Hyundai,4
KWID RXT,315000,16000,Petrol,Individual,Manual,First Owner,Renault,6
Xylo E4,600000,60000,Diesel,Individual,Manual,First Owner,Mahindra,11
Wagon R,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,13
SX4 ZXI,250000,110000,Petrol,Individual,Manual,Third Owner,Maruti,12
KWID RXT,350000,25000,Petrol,Individual,Manual,First Owner,Renault,6
Creta 1.4,780000,60000,Diesel,Individual,Manual,First Owner,Hyundai,7
Swift Dzire,434000,79350,Diesel,Individual,Manual,Second Owner,Maruti,9
Verna 1.6,690000,80000,Petrol,Individual,Automatic,First Owner,Hyundai,7
Scorpio LX,555000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,9
SX4 Vxi,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,16
Ertiga VDI,500000,120000,Diesel,Individual,Manual,Second Owner,Maruti,9
Beat Diesel,165000,60000,Diesel,Individual,Manual,Second Owner,Chevrolet,10
Zen LX,95000,50000,Petrol,Individual,Manual,First Owner,Maruti,19
Baleno Delta,550000,20000,Petrol,Individual,Manual,First Owner,Maruti,5
Swift Vdi,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,16
Nano Lx,100000,50000,Petrol,Individual,Manual,Second Owner,Tata,11
Innova 2.5,500000,100000,Diesel,Individual,Manual,First Owner,Toyota,11
Ertiga SHVS,800000,70000,Diesel,Individual,Manual,Second Owner,Maruti,7
Creta 1.6,840000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,7
Amaze S,490000,50000,Petrol,Individual,Manual,First Owner,Honda,7
Indica Vista,125000,81000,Diesel,Individual,Manual,Second Owner,Tata,13
Tavera Neo,400000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet,11
Cruze LTZ,1000000,3600,Diesel,Dealer,Manual,First Owner,Chevrolet,8
Figo Aspire,530000,14272,Petrol,Dealer,Manual,First Owner,Ford,8
EcoSport 1.5,840000,49213,Diesel,Dealer,Manual,First Owner,Ford,6
i10 Sportz,229999,40000,Petrol,Individual,Manual,First Owner,Hyundai,8
800 Std,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,25
Spark 1.0,130000,80000,Petrol,Individual,Manual,First Owner,Chevrolet,11
EON Era,200000,70000,Petrol,Individual,Manual,First Owner,Hyundai,8
Indica Vista,120000,70000,Diesel,Individual,Manual,First Owner,Tata,12
Santro LP,75000,57000,Petrol,Individual,Manual,First Owner,Hyundai,20
Bolt Quadrajet,250000,120000,Diesel,Individual,Manual,First Owner,Tata,7
800 AC,100000,30000,Petrol,Individual,Manual,First Owner,Maruti,18
EON Era,280000,3240,Petrol,Individual,Manual,Second Owner,Hyundai,10
i20 Magna,540000,5000,Petrol,Individual,Manual,First Owner,Hyundai,8
i20 1.2,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,5
Ciaz VDi,525000,100000,Diesel,Individual,Manual,First Owner,Maruti,8
i20 Asta,430000,80000,Diesel,Individual,Manual,First Owner,Hyundai,7
Santro LE,65000,70000,Petrol,Individual,Manual,First Owner,Hyundai,21
Vitara Brezza,800000,35000,Diesel,Individual,Manual,First Owner,Maruti,5
Santro Xing,75000,114000,Petrol,Individual,Manual,Second Owner,Hyundai,16
Getz 1.3,210000,53772,Petrol,Individual,Manual,First Owner,Hyundai,15
Quanto C8,195000,140000,Diesel,Individual,Manual,Second Owner,Mahindra,11
Tavera Neo,400000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,8
EON Magna,170000,60000,Petrol,Individual,Manual,First Owner,Hyundai,11
KWID RXT,225000,25000,Petrol,Individual,Manual,First Owner,Renault,7
Wagon R,210000,90000,LPG,Individual,Manual,First Owner,Maruti,9
Wagon R,240000,120000,Petrol,Individual,Manual,First Owner,Maruti,3
Enjoy 1.3,300000,175000,Diesel,Individual,Manual,First Owner,Chevrolet,8
Spark 1.0,99000,100000,Petrol,Individual,Manual,Third Owner,Chevrolet,12
City i,620000,36000,Petrol,Individual,Manual,First Owner,Honda,9
Amaze VX,500000,30000,Diesel,Individual,Manual,First Owner,Honda,10
XJ 5.0,2550000,40000,Petrol,Individual,Automatic,Second Owner,Jaguar,13
Brio E,260000,70000,Petrol,Individual,Manual,Second Owner,Honda,10
Swift VVT,550000,60000,Petrol,Individual,Manual,First Owner,Maruti,6
Indigo CR4,150000,155500,Diesel,Individual,Manual,First Owner,Tata,12
i10 Asta,350000,50000,Petrol,Individual,Automatic,Second Owner,Hyundai,12
Beat LT,320000,40000,Petrol,Individual,Manual,First Owner,Chevrolet,7
Swift VDI,400000,100000,Diesel,Individual,Manual,Third Owner,Maruti,8
Alto LXi,175000,80000,Petrol,Individual,Manual,Third Owner,Maruti,11
Beat LT,120000,90000,Petrol,Individual,Manual,Second Owner,Chevrolet,12
Duster 110PS,320000,90000,Diesel,Individual,Manual,Second Owner,Renault,10
Santro Xing,70000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,17
Swift Dzire,810000,15000,Petrol,Individual,Manual,First Owner,Maruti,4
800 AC,95000,100000,Petrol,Individual,Manual,Second Owner,Maruti,16
Alto K10,282000,40000,CNG,Individual,Manual,First Owner,Maruti,3
800 Std,80000,60000,Petrol,Individual,Manual,Second Owner,Maruti,19
Nano LX,72000,25000,Petrol,Individual,Manual,First Owner,Tata,10
i20 Magna,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai,7
Rapid 1.6,640000,23000,Petrol,Individual,Manual,First Owner,Skoda,8
Alto K10,380000,22155,Petrol,Individual,Manual,First Owner,Maruti,5
Ciaz 1.4,650000,70000,Petrol,Individual,Manual,First Owner,Maruti,5
Alto LX,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,14
i20 Asta,280000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,14
Nexon 1.2,430000,30000,Petrol,Individual,Manual,First Owner,Tata,5
Bolero Power,800000,15000,Diesel,Individual,Manual,First Owner,Mahindra,4
Zen D,75000,100000,Diesel,Individual,Manual,Second Owner,Maruti,20
Vento Celeste,650000,70000,Diesel,Individual,Automatic,First Owner,Volkswagen,7
Eeco 7,390000,24000,Petrol,Individual,Manual,First Owner,Maruti,6
City 1.5,100000,120000,Petrol,Individual,Manual,Second Owner,Honda,18
New C-Class,1500000,35000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,10
SX4 Zxi,175000,78380,Petrol,Individual,Manual,First Owner,Maruti,16
Duster 110PS,434999,110000,Diesel,Individual,Manual,Second Owner,Renault,11
Figo Diesel,170000,90000,Diesel,Individual,Manual,Third Owner,Ford,13
Figo Diesel,190000,90000,Diesel,Individual,Manual,Third Owner,Ford,12
Swift Dzire,250000,150000,Diesel,Individual,Manual,Third Owner,Maruti,14
Xylo E4,229999,230000,Diesel,Individual,Manual,Third Owner,Mahindra,14
Esteem Vxi,140000,70000,Petrol,Individual,Manual,Third Owner,Maruti,17
Swift VDI,600000,80362,Diesel,Individual,Manual,First Owner,Maruti,6
i20 1.2,280000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,11
Beat Diesel,150000,60000,Diesel,Individual,Manual,First Owner,Chevrolet,11
Cruze LTZ,650000,50000,Diesel,Individual,Automatic,First Owner,Chevrolet,8
Micra XL,210000,40000,Petrol,Individual,Manual,Second Owner,Nissan,9
5 Series,2900000,40000,Diesel,Individual,Automatic,First Owner,BMW,6
Enjoy 1.3,425000,20000,Diesel,Dealer,Manual,First Owner,Chevrolet,10
EON Era,265000,55000,Petrol,Dealer,Manual,First Owner,Hyundai,9
Linea T,890000,1136,Petrol,Dealer,Manual,First Owner,Fiat,5
Scala RxL,365000,55000,Petrol,Dealer,Manual,First Owner,Renault,10
Figo Petrol,350000,43000,Petrol,Dealer,Manual,First Owner,Ford,9
Ciaz ZDi,685000,60000,Diesel,Individual,Manual,First Owner,Maruti,7
Rapid 1.5,940000,2650,Diesel,Dealer,Manual,First Owner,Skoda,5
XUV500 W6,1000000,40000,Diesel,Individual,Manual,First Owner,Mahindra,6
XUV300 W8,1150000,15000,Petrol,Dealer,Manual,First Owner,Mahindra,4
Ertiga SHVS,450000,115962,Diesel,Individual,Manual,Second Owner,Maruti,7
Terrano XE,590000,65000,Diesel,Dealer,Manual,First Owner,Nissan,8
S-Cross Facelift,800000,40000,Diesel,Individual,Manual,First Owner,Maruti,6
i20 Magna,385000,58000,Diesel,Dealer,Manual,First Owner,Hyundai,11
New C-Class,2000000,15000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,10
EON Era,235000,54000,Petrol,Dealer,Manual,First Owner,Hyundai,11
Ameo 1.5,640000,56000,Diesel,Dealer,Manual,First Owner,Volkswagen,6
Alto LX,52000,120000,Petrol,Individual,Manual,Third Owner,Maruti,17
Omni LPG,80000,90000,LPG,Individual,Manual,Second Owner,Maruti,14
Alto LX,140000,70000,Petrol,Individual,Manual,Second Owner,Maruti,11
Verna i,120000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,15
Renault Logan,89999,213000,Diesel,Individual,Manual,First Owner,Mahindra,15
Optra Magnum,180000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,11
Scorpio S11,1500000,20000,Diesel,Individual,Manual,First Owner,Mahindra,6
i20 Active,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,6
SX4 Celebration,285000,80000,Diesel,Individual,Manual,Second Owner,Maruti,11
Grand i10,390000,90000,Petrol,Individual,Manual,First Owner,Hyundai,8
Alto LXi,125000,80000,Petrol,Individual,Manual,First Owner,Maruti,15
SX4 Zxi,225000,60000,Petrol,Individual,Manual,Second Owner,Maruti,15
i10 Era,175000,139000,Petrol,Individual,Manual,Second Owner,Hyundai,12
Innova 2.5,1075000,160000,Diesel,Individual,Manual,Second Owner,Toyota,12
Mobilio V,300000,150000,Diesel,Individual,Manual,First Owner,Honda,9
Innova 2.5,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,Toyota,13
Indica V2,90000,120000,Diesel,Dealer,Manual,First Owner,Tata,14
Indica Vista,120000,120000,Diesel,Individual,Manual,Second Owner,Tata,12
Beat Diesel,220000,100000,Diesel,Individual,Manual,Second Owner,Chevrolet,11
Zest Quadrajet,300000,140000,Diesel,Dealer,Manual,First Owner,Tata,8
Fabia 1.2L,180000,87000,Diesel,Dealer,Manual,Second Owner,Skoda,13
800 Std,170000,70000,Petrol,Individual,Manual,First Owner,Maruti,10
Figo Petrol,300000,50000,Petrol,Individual,Manual,Second Owner,Ford,8
Innova 2.5,1050000,70000,Diesel,Individual,Manual,First Owner,Toyota,9
Grand i10,465000,25000,Diesel,Individual,Manual,First Owner,Hyundai,5
Beat Diesel,130000,80000,Diesel,Individual,Manual,Second Owner,Chevrolet,12
GO Plus,434999,10000,Petrol,Individual,Manual,First Owner,Datsun,5
Grand i10,500000,32000,Petrol,Individual,Manual,First Owner,Hyundai,5
Omni MPI,200000,10000,Petrol,Individual,Manual,First Owner,Maruti,5
Baleno Alpha,625000,52000,Petrol,Dealer,Manual,First Owner,Maruti,6
Fiesta Classic,110000,120000,Diesel,Individual,Manual,Third Owner,Ford,17
Elite i20,800000,11240,Petrol,Individual,Manual,First Owner,Hyundai,4
Grand i10,490000,66000,Diesel,Dealer,Manual,First Owner,Hyundai,6
Ertiga SHVS,880000,64000,Diesel,Dealer,Manual,First Owner,Maruti,6
Santro Xing,290000,49000,Petrol,Individual,Manual,First Owner,Hyundai,10
Sumo GX,115999,100000,Diesel,Individual,Manual,Second Owner,Tata,17
KWID RXT,360000,26500,Petrol,Individual,Manual,First Owner,Renault,5
800 AC,65000,100000,Petrol,Individual,Manual,Second Owner,Maruti,21
Vitara Brezza,685000,72000,Diesel,Dealer,Manual,First Owner,Maruti,6
Jazz S,300000,50000,Petrol,Individual,Manual,First Owner,Honda,14
i20 1.4,680000,44000,Diesel,Dealer,Manual,First Owner,Hyundai,6
Ertiga SHVS,1000000,60000,Diesel,Individual,Manual,Second Owner,Maruti,6
Sumo SE,100000,120000,Diesel,Individual,Manual,First Owner,Tata,21
Xylo E4,160000,130000,Diesel,Individual,Manual,First Owner,Mahindra,13
Swift ZDi,450000,70000,Diesel,Individual,Manual,First Owner,Maruti,6
Ertiga VXI,600000,20000,Petrol,Individual,Manual,First Owner,Maruti,9
i20 1.4,180000,60000,Diesel,Individual,Manual,Second Owner,Hyundai,14
Alto LXi,100000,195000,Petrol,Individual,Manual,First Owner,Maruti,16
Alto LXi,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,13
Getz GL,130000,80000,Petrol,Individual,Manual,Third Owner,Hyundai,17
Wagon R,160000,155000,Petrol,Individual,Manual,First Owner,Maruti,12
Bolero Power,860000,35000,Diesel,Individual,Manual,First Owner,Mahindra,4
i20 1.2,650000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,5
Wagon R,100000,80000,Petrol,Individual,Manual,Second Owner,Maruti,13
Alto 800,282000,20000,Petrol,Individual,Manual,First Owner,Maruti,6
i20 Asta,300000,50000,Petrol,Individual,Manual,First Owner,Hyundai,14
i20 Asta,270000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,13
Verna 1.6,550000,29000,Diesel,Individual,Manual,First Owner,Hyundai,10
Xylo D2,450000,120000,Diesel,Individual,Manual,First Owner,Mahindra,10
Bolero SLX,430000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,12
Ertiga VXI,350000,40000,Petrol,Individual,Manual,First Owner,Maruti,10
Brio 1.2,350000,20000,Petrol,Individual,Manual,First Owner,Honda,6
Etios Liva,229999,50000,Petrol,Individual,Manual,Second Owner,Toyota,10
Alto 800,110000,50000,Petrol,Individual,Manual,First Owner,Maruti,10
Swift Dzire,395000,49000,Petrol,Individual,Manual,Second Owner,Maruti,11
Scorpio VLS,650000,70000,Diesel,Individual,Automatic,Second Owner,Mahindra,12
Bolero SLX,350000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,12
XUV500 W11,1400000,25000,Diesel,Dealer,Manual,First Owner,Mahindra,3
Tiago 1.2,360000,4000,Petrol,Individual,Manual,First Owner,Tata,5
Marazzo M8,1300000,10000,Diesel,Individual,Manual,First Owner,Mahindra,5
Duster 110PS,800000,15000,Diesel,Individual,Manual,First Owner,Renault,8
EON Magna,229999,30000,Petrol,Individual,Manual,First Owner,Hyundai,5
Wagon R,315000,41000,Petrol,Dealer,Manual,First Owner,Maruti,9
Spark 1.0,125000,28000,Petrol,Individual,Manual,First Owner,Chevrolet,11
Baleno Alpha,700000,16000,Petrol,Individual,Manual,First Owner,Maruti,4
EON 1.0,160000,70000,Petrol,Individual,Manual,First Owner,Hyundai,8
Figo Aspire,530000,10832,Petrol,Dealer,Manual,First Owner,Ford,6
Figo Aspire,624000,14681,Diesel,Dealer,Manual,First Owner,Ford,5
i10 Era,250000,50000,Petrol,Individual,Manual,First Owner,Hyundai,14
Bolero SLX,585000,51000,Diesel,Dealer,Manual,First Owner,Mahindra,7
Verna 1.4,500000,25000,Petrol,Individual,Manual,First Owner,Hyundai,8
Sail 1.2,350000,30000,Petrol,Individual,Manual,First Owner,Chevrolet,9
City i-DTEC,495000,80000,Diesel,Dealer,Manual,First Owner,Honda,9
Grand i10,500000,50000,Petrol,Individual,Manual,First Owner,Hyundai,6
Bolero Power,430000,200000,Diesel,Individual,Manual,First Owner,Mahindra,8
Grand i10,345000,44000,Petrol,Dealer,Manual,First Owner,Hyundai,10
Baleno Sigma,500000,10000,Petrol,Individual,Manual,First Owner,Maruti,8
Tiago 1.2,425000,19600,Petrol,Individual,Manual,First Owner,Tata,4
Wagon R,80000,40000,Petrol,Individual,Manual,Second Owner,Maruti,18
Beat Diesel,106000,50000,Diesel,Individual,Manual,First Owner,Chevrolet,12
A-Star Vxi,180000,46730,Petrol,Individual,Manual,First Owner,Maruti,14
GO A,250000,40000,Petrol,Individual,Manual,Second Owner,Datsun,8
Yeti Ambition,350000,80000,Diesel,Individual,Manual,First Owner,Skoda,12
Zen LXi,60000,80000,Petrol,Individual,Manual,Second Owner,Maruti,21
Verna CRDi,900000,24000,Diesel,Individual,Manual,First Owner,Hyundai,5
Aspire Titanium,700000,21170,Diesel,Dealer,Manual,First Owner,Ford,6
3 Series,2000000,167223,Diesel,Dealer,Automatic,First Owner,BMW,10
Ertiga SHVS,1000000,40000,Diesel,Individual,Manual,First Owner,Maruti,6
X1 sDrive,1375000,60000,Diesel,Individual,Automatic,First Owner,BMW,12
Innova Crysta,1800000,141440,Diesel,Dealer,Manual,First Owner,Toyota,7
Tavera Neo,160000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet,16
Outlander 2.4,525000,140000,Petrol,Individual,Automatic,First Owner,Mitsubishi,11
XUV500 W8,850000,212814,Diesel,Dealer,Manual,First Owner,Mahindra,11
Baleno Alpha,800000,30000,Diesel,Individual,Manual,First Owner,Maruti,4
Figo Aspire,700000,88635,Diesel,Dealer,Manual,First Owner,Ford,6
Swift Dzire,800000,25000,Diesel,Individual,Manual,First Owner,Maruti,5
i20 1.2,575000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,6
Duster 110PS,350000,110000,Diesel,Individual,Manual,Second Owner,Renault,11
Swift Vdi,250000,120000,Diesel,Individual,Manual,Third Owner,Maruti,15
Endeavour Titanium,600000,149674,Diesel,Dealer,Manual,Second Owner,Ford,12
Scorpio 2.6,370000,100000,Diesel,Individual,Manual,Third Owner,Mahindra,16
Baleno Vxi,80000,120000,Petrol,Individual,Manual,Third Owner,Maruti,17
Indica DLX,50000,120000,Diesel,Individual,Manual,Second Owner,Tata,20
Verna CRDi,900000,25000,Diesel,Individual,Manual,First Owner,Hyundai,5
Wagon R,300000,35000,Petrol,Individual,Manual,Second Owner,Maruti,9
Indica LSI,125000,40000,Petrol,Individual,Manual,First Owner,Tata,21
Swift Dzire,490000,60000,Diesel,Individual,Manual,Second Owner,Maruti,8
Etios Liva,300000,50000,Diesel,Individual,Manual,Second Owner,Toyota,11
Nano STD,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner,Tata,10
Grand i10,350000,25000,Petrol,Individual,Manual,First Owner,Hyundai,7
Grand i10,755000,8000,Diesel,Individual,Manual,First Owner,Hyundai,4
Ertiga SHVS,720000,60000,Diesel,Individual,Manual,First Owner,Maruti,6
Bolero SLX,229999,200000,Diesel,Individual,Manual,Third Owner,Mahindra,17
Scorpio S7,1100000,20000,Diesel,Individual,Manual,First Owner,Mahindra,5
Polo Petrol,400000,100000,Petrol,Individual,Manual,First Owner,Volkswagen,10
Xcent 1.1,350000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,8
Beat Diesel,159000,68000,Diesel,Dealer,Manual,First Owner,Chevrolet,11
Swift ZXi,550000,38000,Petrol,Dealer,Manual,First Owner,Maruti,6
Ritz VDi,335000,80000,Diesel,Dealer,Manual,First Owner,Maruti,10
Indigo CS,185000,72000,CNG,Dealer,Manual,First Owner,Tata,9
Eeco 5,229999,75000,CNG,Dealer,Manual,First Owner,Maruti,11
Estilo LXI,225000,43000,Petrol,Dealer,Manual,First Owner,Maruti,9
Swift VXI,250000,120000,Petrol,Individual,Manual,Second Owner,Maruti,16
Zest Quadrajet,400000,100000,Diesel,Individual,Manual,First Owner,Tata,8
Swift VDI,470000,163000,Diesel,Individual,Manual,First Owner,Maruti,9
Alto K10,300000,25000,Petrol,Individual,Automatic,First Owner,Maruti,5
Alto LX,145000,25000,Petrol,Individual,Manual,First Owner,Maruti,12
SX4 Vxi,100000,90000,Petrol,Individual,Manual,Second Owner,Maruti,16
Scorpio SLE,500000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,9
Santro Xing,130000,98000,CNG,Individual,Manual,Second Owner,Hyundai,13
Cruze LTZ,240000,81925,Diesel,Individual,Manual,First Owner,Chevrolet,13
Figo Diesel,150000,80000,Diesel,Individual,Manual,Second Owner,Ford,10
KWID RXT,270000,40000,Petrol,Individual,Manual,First Owner,Renault,6
Swift Dzire,400000,90000,Diesel,Individual,Manual,First Owner,Maruti,9
